<S0|u|S1,x,y,z> (Debye):        -0.00000        0.00018       -0.00000
<S0|u|S2,x,y,z> (Debye):         0.00496        0.00000        0.08539
<S0|u|S3,x,y,z> (Debye):         0.00000        0.00038        0.00000
<S0|u|S4,x,y,z> (Debye):         3.12629       -0.00001        0.00132
<S0|u|S5,x,y,z> (Debye):        -0.00006       -0.00004       -2.07918
<S0|u|S6,x,y,z> (Debye):         0.00008       -3.10551        0.00007
<S0|u|S7,x,y,z> (Debye):        -3.11255       -0.00007        0.00081
<S0|u|S8,x,y,z> (Debye):         0.00085        0.00001        0.53844
<S0|u|S9,x,y,z> (Debye):         0.00000       -0.00089       -0.00002
<S0|u|S*,x,y,z> (Debye):         1.80083       -0.00002       -0.00114
<S1|u|S2,x,y,z> (Debye):        -0.00001        0.70338       -0.00002
<S1|u|S3,x,y,z> (Debye):         3.39379       -0.00001        0.00027
<S1|u|S4,x,y,z> (Debye):         0.00000       -0.00081        0.00000
<S1|u|S5,x,y,z> (Debye):        -0.00001        1.92610       -0.00004
<S1|u|S6,x,y,z> (Debye):         0.00005        0.00001        0.57561
<S1|u|S7,x,y,z> (Debye):         0.00000        0.00047        0.00002
<S1|u|S8,x,y,z> (Debye):        -0.00000       -0.00000       -0.00000
<S1|u|S9,x,y,z> (Debye):        -0.00000       -0.00000       -0.00001
<S1|u|S*,x,y,z> (Debye):        -0.00000       -0.00010       -0.00000
<S2|u|S3,x,y,z> (Debye):        -0.00001        1.00911       -0.00002
<S2|u|S4,x,y,z> (Debye):        -0.00234       -0.00000       -0.15236
<S2|u|S5,x,y,z> (Debye):         3.55508        0.00000       -0.00030
<S2|u|S6,x,y,z> (Debye):        -0.00000       -0.00018       -0.00000
<S2|u|S7,x,y,z> (Debye):         0.00041       -0.00000       -0.15132
<S2|u|S8,x,y,z> (Debye):        -0.00000       -0.00000       -0.00040
<S2|u|S9,x,y,z> (Debye):         0.00000        0.00000        0.00000
<S2|u|S*,x,y,z> (Debye):        -0.00064       -0.00001       -0.54882
<S3|u|S4,x,y,z> (Debye):        -0.00000       -0.00123       -0.00000
<S3|u|S5,x,y,z> (Debye):         0.00002        1.83230       -0.00004
<S3|u|S6,x,y,z> (Debye):         0.00013        0.00000        0.10521
