sum_soc, <S(0)|Hso|T(1),1,0,-1> (cm-1):        11.92579        8.43280        0.00025        8.43280
sum_soc, <S(0)|Hso|T(2),1,0,-1> (cm-1):         5.34243        3.77509        0.19726        3.77509
sum_soc, <S(0)|Hso|T(3),1,0,-1> (cm-1):         9.65840        0.00049        9.65840        0.00049
sum_soc, <S(0)|Hso|T(4),1,0,-1> (cm-1):         0.00105        0.00002        0.00105        0.00002
sum_soc, <S(0)|Hso|T(5),1,0,-1> (cm-1):        21.43222       15.15487        0.00303       15.15487
sum_soc, <S(0)|Hso|T(6),1,0,-1> (cm-1):         4.06235        0.00735        4.06234        0.00735
sum_soc, <S(0)|Hso|T(7),1,0,-1> (cm-1):        16.85134        8.81691       11.33543        8.81691
sum_soc, <S(0)|Hso|T(8),1,0,-1> (cm-1):         0.04672        0.03226        0.01006        0.03226
sum_soc, <S(0)|Hso|T(9),1,0,-1> (cm-1):        41.87226       29.09792        7.74005       29.09792
sum_soc, <S(0)|Hso|T(10),1,0,-1> (cm-1):        22.42726        0.00906       22.42726        0.00906
sum_soc, <S(1)|Hso|T(1),1,0,-1> (cm-1):         0.00000        0.00000        0.00000        0.00000
sum_soc, <S(1)|Hso|T(2),1,0,-1> (cm-1):        14.84132       10.49379        0.15986       10.49379
sum_soc, <S(1)|Hso|T(3),1,0,-1> (cm-1):        38.05040       26.90570        0.00206       26.90570
sum_soc, <S(1)|Hso|T(4),1,0,-1> (cm-1):        30.74178       21.73772        0.00060       21.73772
sum_soc, <S(1)|Hso|T(5),1,0,-1> (cm-1):         0.00101        0.00071        0.00000        0.00071
sum_soc, <S(1)|Hso|T(6),1,0,-1> (cm-1):         0.00088        0.00062        0.00001        0.00062
sum_soc, <S(1)|Hso|T(7),1,0,-1> (cm-1):         0.10368        0.07285        0.01161        0.07285
sum_soc, <S(1)|Hso|T(8),1,0,-1> (cm-1):         0.00041        0.00002        0.00041        0.00002
sum_soc, <S(1)|Hso|T(9),1,0,-1> (cm-1):         0.27930        0.19648        0.02833        0.19648
sum_soc, <S(1)|Hso|T(10),1,0,-1> (cm-1):         0.00020        0.00001        0.00020        0.00001
sum_soc, <S(2)|Hso|T(1),1,0,-1> (cm-1):        38.05038       26.90568        0.00187       26.90568
sum_soc, <S(2)|Hso|T(2),1,0,-1> (cm-1):        13.66308        0.00088       13.66308        0.00088
sum_soc, <S(2)|Hso|T(3),1,0,-1> (cm-1):         0.01197        0.00000        0.01197        0.00000
sum_soc, <S(2)|Hso|T(4),1,0,-1> (cm-1):         3.54899        0.00031        3.54899        0.00031
sum_soc, <S(2)|Hso|T(5),1,0,-1> (cm-1):         0.00216        0.00129        0.00115        0.00129
sum_soc, <S(2)|Hso|T(6),1,0,-1> (cm-1):         0.01126        0.00022        0.01125        0.00022
sum_soc, <S(2)|Hso|T(7),1,0,-1> (cm-1):         0.10464        0.00016        0.10464        0.00016
sum_soc, <S(2)|Hso|T(8),1,0,-1> (cm-1):         0.00056        0.00000        0.00056        0.00000
sum_soc, <S(2)|Hso|T(9),1,0,-1> (cm-1):         0.24862        0.00022        0.24862        0.00022
sum_soc, <S(2)|Hso|T(10),1,0,-1> (cm-1):         0.08874        0.00031        0.08874        0.00031
sum_soc, <S(3)|Hso|T(1),1,0,-1> (cm-1):        30.74178       21.73772        0.00060       21.73772
sum_soc, <S(3)|Hso|T(2),1,0,-1> (cm-1):         0.16692        0.00103        0.16691        0.00103
sum_soc, <S(3)|Hso|T(3),1,0,-1> (cm-1):         3.54880        0.00031        3.54880        0.00031
sum_soc, <S(3)|Hso|T(4),1,0,-1> (cm-1):         0.00000        0.00000        0.00000        0.00000
sum_soc, <S(3)|Hso|T(5),1,0,-1> (cm-1):         0.00083        0.00059        0.00000        0.00059
sum_soc, <S(3)|Hso|T(6),1,0,-1> (cm-1):         0.00613        0.00004        0.00613        0.00004
sum_soc, <S(3)|Hso|T(7),1,0,-1> (cm-1):         0.02493        0.00015        0.02493        0.00015
sum_soc, <S(3)|Hso|T(8),1,0,-1> (cm-1):         0.00037        0.00006        0.00036        0.00006
sum_soc, <S(3)|Hso|T(9),1,0,-1> (cm-1):         0.10188        0.00089        0.10187        0.00089
sum_soc, <S(3)|Hso|T(10),1,0,-1> (cm-1):         0.03401        0.00008        0.03401        0.00008
sum_soc, <S(4)|Hso|T(1),1,0,-1> (cm-1):        14.53829       10.27536        0.44242       10.27536
sum_soc, <S(4)|Hso|T(2),1,0,-1> (cm-1):         0.22630        0.06844        0.20456        0.06844
sum_soc, <S(4)|Hso|T(3),1,0,-1> (cm-1):        13.22303        0.00088       13.22303        0.00088
